Cohort,Sentiment Regime,Trades,Total Net PnL ($),Avg Net PnL ($),Win Rate (%),Long Ratio (%),Avg Trade Size ($)
Mid-Tier / Scalpers,Fear,4838,-6154.672893999988,-1.2721523137660167,78.37940174176448,62.60851591566763,22504.5558288549
Retail / Unprofitable,Extreme Greed,27,-5567.918720000001,-206.21921185185187,40.909090909090914,96.29629629629629,3048.5944444444444
Retail / Unprofitable,Fear,349,-59405.96486286,-170.2176643634957,36.22047244094488,1.1527377521613833,1648.557535816619
Retail / Unprofitable,Greed,161,36969.11868448,229.62185518310562,96.05263157894737,46.62162162162162,2792.455900621118
Retail / Unprofitable,Neutral,80,178.37176899999997,2.2296471124999995,38.095238095238095,57.377049180327866,767.2477500000001
Smart Money (Top Traders),Extreme Greed,6935,175720.62926100002,25.33823060720981,75.93967517401393,54.81970981180865,5670.433770728191
Smart Money (Top Traders),Fear,128684,6620467.78471305,51.447482085675375,85.80003569053065,61.68702029147634,4621.445597743309
Smart Money (Top Traders),Greed,36128,3128313.3833029103,86.58971942268906,84.55181851676404,45.22622805560171,3184.623739205049
Smart Money (Top Traders),Neutral,7061,149820.12882261997,21.217976040591978,80.04299534217127,36.445267958950964,3084.811574847755
